Nazwa:;Symbol:;Strefa:
Kozieg³owy Lipowa;KZLIP01;B
Kozieg³owy Lipowa;KZLIP02;B
Kozieg³owy Os. Karolin;KZOSK01;B
Kozieg³owy Os. Karolin;KZOSK02;B
Kozieg³owy Os. Leœne;KZOSL01;B
Kozieg³owy Os. Leœne;KZOSL02;B
Kozieg³owy Piaskowa COŒ;KZCOS01;B
Kozieg³owy Piaskowa COŒ;KZCOS02;B
Kozieg³owy Piaskowa Szko³a;KZSZK02;B
Kozieg³owy Piaskowa Szko³a;KZSZK04;B
Kozieg³owy P³ywalnia;KZPLY01;B
Kozieg³owy P³ywalnia;KZPLY02;B
Kozieg³owy Taczaka I;KZTJE01;B
Kozieg³owy Taczaka I;KZTJE02;B
Kozieg³owy Taczaka II;KZTDW01;B
Kozieg³owy Taczaka II;KZTDW02;B
Kozieg³owy Zak³ady Drobiarskie;KZZDR01;B
Kozieg³owy Zak³ady Drobiarskie;KZZDR02;B
KoŸmiñska;KOZM01;A
KoŸmiñska;KOZM02;A
Kórnicka;KORN02;A
Kórnicka;KORN41;A
Kórnicka;KORN42;A
Kórnicka;KORN43;A
Kórnicka;KORN44;A
Kórnicka;KORN45;A
Kórnicka;KORN93;A
Krajenecka;KRAJ01;A
Krajenecka;KRAJ02;A
Krañcowa;KRAN41;A
Krañcowa;KRAN42;A
Krañcowa I;KRNZ01;A
Krañcowa I;KRNZ02;A
Kraszewskiego;KRAS01;A
Kraszewskiego;KRAS02;A
Kraszewskiego;KRAS41;A
Kraszewskiego;KRAS42;A
Krauthofera;KRAU71;A
Krauthofera;KRAU72;A
Kresowa;KRES01;A
Kresowa;KRES02;A
Kresowa;KRES03;A
Krzesiny;KRNY01;A
Krzesiny;KRNY02;A
Krzesiny Szko³a;KRSZ01;A
Krzesiny Szko³a;KRSZ02;A
Krzesiny Wiadukt;KRWI01;A
Krzesiny Wiadukt;KRWI02;A
Krzywoustego;KRUS02;A
Krzy¿owniki;KRZY01;A
Krzy¿owniki;KRZY02;A
Krzy¿owniki;KRZY04;A
Ksiêcia Mieszka I;KSMI02;A
Kupa³y;KULY01;A
Kupa³y;KULY02;A
Kurlandzka;KURL01;A
Kurlandzka;KURL02;A
Kurpiñskiego;KURP01;A
Kurpiñskiego;KURP02;A
Kurpiñskiego;KURP03;A
Kurpiñskiego;KURP06;A
Kurpiñskiego;KURP41;A
Kurpiñskiego;KURP42;A
Lechicka/Poznañ Plaza;LECH41;A
Lechicka/Poznañ Plaza;LECH42;A
Leszczyñska;LESZ01;A
Leszczyñska;LESZ02;A
Leœnowolska;LEKA01;A
Leœnowolska;LEKA02;A
Leœnych Skrzatów;LESK01;A
Leœnych Skrzatów;LESK02;A
Leœnych Skrzatów;LESK03;A
Libelta;LIBE01;A
Libelta;LIBE02;A
Literacka;LITE01;A
Literacka;LITE02;A
Literacka I;LINZ01;A
Literacka I;LINZ02;A
Lokomotywownia;LOKO01;A
Lokomotywownia;LOKO02;A
Lubieñska;LUBI01;A
Lubieñska;LUBI02;A
Luboñ Dêbiecka;LUDEB01;B
Luboñ Klonowa;LUKLO01;B
Luboñ Klonowa;LUKLO02;B
Luboñ Ko³³¹taja;LUKLL01;B
Luboñ Ko³³¹taja;LUKLL02;B
Luboñ Koœció³;LUKOS01;B
Luboñ Koœció³;LUKOS02;B
Luboñ Krêta;LUKRE01;B
Luboñ Niepodleg³oœci;LUNIE01;B
Luboñ Niepodleg³oœci;LUNIE02;B
Luboñ Orlen;LUORL01;B
Luboñ Orlen;LUORL02;B
Luboñ Os. Lubonianka;LUOLU01;B
Luboñ Os. Lubonianka;LUOLU03;B
Luboñ Oœrodek Kultury;LUOSK01;B
Luboñ Oœrodek Kultury;LUOSK02;B
Luboñ Parkowa;LUPAR01;B
Luboñ Parkowa;LUPAR02;B
Luboñ Pl. Bojanowskiego;LUPBO01;B
Luboñ Pl. Bojanowskiego;LUPBO02;B
Luboñ Podgórna;LUPOD01;B
Luboñ Podgórna;LUPOD02;B
Luboñ Przemys³owa;LUPRZ01;B
Luboñ Przemys³owa;LUPRZ91;B
Luboñ Sikorskiego;LUSIK01;B
Luboñ Sikorskiego;LUSIK02;B
Luboñ Stra¿ Po¿arna;LUSTP02;B
Luboñ Stra¿ Po¿arna;LUSTP04;B
Luboñ Szkolna;LUSZN01;B
Luboñ Szkolna;LUSZN02;B
Luboñ Traugutta;LUTRA01;B
Luboñ Traugutta;LUTRA03;B
